gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NZ_JACANE010000011.1_17	21094	21798	705	-1	0.532	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_18	21928	22743	816	1	0.445	11	GGA/GAG/AGG	GENOMAD.212289.CP	3.46E-09	60	0	0	0	1	NA	NA	NA	PF01636;TIGR02172;COG2187;K19272	Fibrobacter succinogenes paralogous family TIGR02172
NZ_JACANE010000011.1_19	22880	23227	348	-1	0.443	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_20	23321	24025	705	-1	0.532	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_21	24511	24636	126	-1	0.548	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_22	24769	24981	213	-1	0.39	11	GGA/GAG/AGG	GENOMAD.084741.PP	4.01E-16	73	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_23	25551	25811	261	-1	0.383	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_24	25822	31572	5751	-1	0.397	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_25	31566	32744	1179	-1	0.407	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_26	32947	33276	330	-1	0.503	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_27	33315	33608	294	-1	0.446	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_28	34759	34995	237	1	0.506	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_29	34902	35666	765	-1	0.533	11	AGGA	GENOMAD.197487.PC	1.75E-137	433	0	0	0	1	NA	NA	NA	PF06504	Replication protein C (RepC)
NZ_JACANE010000011.1_30	35653	36498	846	-1	0.494	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_31	36503	36730	228	-1	0.461	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_32	36826	37842	1017	1	0.431	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_33	37855	39057	1203	-1	0.491	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_34	39364	39840	477	-1	0.518	11	None	GENOMAD.032975.CC	6.86E-24	100	1	0	0	2561	Caudoviricetes	NA	NA	PF00958;PF13638;PF09002;TIGR03642;K07158;COG1875	GMP synthase C terminal domain; PIN domain
NZ_JACANE010000011.1_35	39897	40757	861	-1	0.369	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_36	40775	41911	1137	-1	0.374	11	None	GENOMAD.189578.PC	4.18E-47	177	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000011.1_37	41958	42311	354	-1	0.322	11	None	GENOMAD.206099.CP	1.06E-18	83	0	0	0	1	NA	NA	NA	PF07366;COG5485;TIGR02096;K10533	SnoaL-like polyketide cyclase
NZ_JACANE010000012.1_1	270	3089	2820	1	0.492	11	None	GENOMAD.193090.PC	1.17E-06	55	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000012.1_2	3264	3803	540	1	0.35	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000012.1_3	3796	4779	984	1	0.368	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000012.1_4	4864	5361	498	1	0.386	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000012.1_5	5448	6236	789	1	0.401	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000012.1_6	6332	6997	666	1	0.438	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000014.1_1	1	693	693	1	0.465	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000014.1_2	690	1187	498	1	0.355	11	None	GENOMAD.011614.PP	2.73E-80	263	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000014.1_3	1345	2655	1311	1	0.289	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000014.1_4	3298	4230	933	1	0.36	11	AATAA	GENOMAD.129439.PV	2.80E-10	64	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_JACANE010000014.1_5	4227	4331	105	1	0.333	11	None	GENOMAD.048707.PP	3.97E-14	65	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000015.1_1	3	251	249	1	0.277	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000015.1_2	1055	1918	864	-1	0.301	11	None	GENOMAD.068896.PP	5.14E-133	422	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000015.1_3	1992	2207	216	-1	0.366	11	None	GENOMAD.059356.PP	7.87E-40	141	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000015.1_4	2197	2493	297	-1	0.401	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000015.1_5	2564	3064	501	-1	0.371	11	TATAA	GENOMAD.020995.PP	2.01E-92	298	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000015.1_6	3061	3390	330	-1	0.427	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000015.1_7	3556	3852	297	-1	0.455	11	None	GENOMAD.065561.PP	1.84E-28	110	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768;COG0507	MobA/MobL family
NZ_JACANE010000017.1_1	2	757	756	1	0.653	11	None	GENOMAD.127324.PC	4.69E-90	296	0	0	0	1	NA	NA	NA	PF11843	NA
NZ_JACANE010000017.1_2	974	2188	1215	1	0.584	11	AGGA/GGAG/GAGG	GENOMAD.147656.CP	0.0002035	46	0	0	0	1	NA	NA	NF012174	COG2223;K08153	Nitrate/nitrite transporter NarK
NZ_JACANE010000017.1_3	2216	2521	306	1	0.582	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000022.1_1	532	945	414	1	0.35	11	TAA	GENOMAD.004909.PP	1.49E-48	170	0	1	0	1	NA	NA	NA	PF06412	Conjugal transfer protein TraD
NZ_JACANE010000022.1_2	1013	1237	225	1	0.338	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000022.1_3	1270	1620	351	1	0.291	11	AATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000027.1_1	2	163	162	-1	0.284	11	AGGA	GENOMAD.222378.PV	2.97E-05	41	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000027.1_2	406	738	333	1	0.372	11	GGA/GAG/AGG	GENOMAD.147419.PV	2.33E-55	188	0	1	0	1	NA	NA	NA	PF19514	MobC-like protein
NZ_JACANE010000027.1_3	728	1081	354	1	0.376	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000031.1_1	3	278	276	-1	0.29	11	AAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000031.1_2	520	942	423	1	0.428	11	TAA	GENOMAD.048732.PP	3.25E-33	126	0	1	0	1	NA	NA	NA	PF12958	NA
NZ_JACANE010000009.1_1	177	1034	858	-1	0.473	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_2	1031	1306	276	-1	0.424	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_3	1337	1960	624	-1	0.607	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_4	2086	4971	2886	1	0.619	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_5	5206	6087	882	1	0.442	11	AGGA	GENOMAD.196447.VP	3.41E-29	121	0	0	0	12031	Mimiviridae	NA	NA	NA	NA
NZ_JACANE010000009.1_6	6156	6362	207	1	0.406	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_7	6681	7352	672	1	0.475	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_8	7439	7885	447	-1	0.445	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_9	7987	8433	447	-1	0.389	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_10	8474	8893	420	-1	0.469	11	AGGAG	GENOMAD.206378.PC	3.19E-74	244	0	0	0	1	NA	NA	NA	PF05023;COG2274;K06992;TIGR03796	"ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain"
NZ_JACANE010000009.1_11	8981	9580	600	-1	0.508	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_12	9693	9923	231	-1	0.442	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_13	10248	11225	978	1	0.46	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_14	12358	12546	189	1	0.487	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_15	12574	13005	432	-1	0.417	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_16	13149	13673	525	-1	0.56	11	GGAG/GAGG	GENOMAD.109592.PC	2.92E-07	52	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
NZ_JACANE010000009.1_17	14072	15025	954	1	0.476	11	AGGAG	GENOMAD.085807.PC	7.60E-45	168	0	1	0	1	NA	NA	NA	PF05472;K10748;TIGR02648	DNA replication terminus site-binding protein (Ter protein)
NZ_JACANE010000009.1_18	15878	16924	1047	1	0.438	11	AGGA	GENOMAD.109756.PV	6.06E-08	57	0	1	0	1	NA	NA	NA	PF04796	Plasmid encoded RepA protein
NZ_JACANE010000009.1_19	16941	17414	474	1	0.439	11	AGGAG	GENOMAD.025363.PP	5.52E-35	132	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_20	17744	18007	264	1	0.405	11	GGAG/GAGG	GENOMAD.018108.PP	5.91E-05	42	0	0	0	1	NA	NA	NA	PF07141;COG2963	NA
NZ_JACANE010000009.1_21	18001	18819	819	1	0.44	11	4Base/6BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_22	18854	18952	99	1	0.424	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_23	18971	19636	666	-1	0.404	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_24	19822	20358	537	-1	0.423	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_25	20463	21431	969	1	0.513	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_26	21405	22253	849	-1	0.428	11	GGAG/GAGG	GENOMAD.043927.PP	2.53E-29	121	0	0	0	1	NA	NA	NA	PF06666	NA
NZ_JACANE010000009.1_27	22250	22369	120	-1	0.358	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_28	22790	23032	243	1	0.37	11	GGAG/GAGG	GENOMAD.032557.PP	8.93E-06	44	0	1	0	1	NA	NA	NA	PF05509;TIGR04563;COG4877	MXAN_4361/MXAN_4362 family small protein
NZ_JACANE010000009.1_29	23043	23687	645	1	0.429	11	GGA/GAG/AGG	GENOMAD.209479.PV	6.80E-11	64	0	0	0	1	NA	NA	NA	PF00929;K10857;COG0847;TIGR01406	"DNA polymerase III, epsilon subunit or related 3'-5' exonuclease"
NZ_JACANE010000009.1_30	23820	24782	963	-1	0.414	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_31	24898	25242	345	1	0.409	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_32	25317	25613	297	1	0.458	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_33	25736	26470	735	1	0.461	11	4Base/6BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_34	26770	27921	1152	1	0.397	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_35	27991	28410	420	1	0.34	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_36	28507	29187	681	1	0.374	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_37	29551	29802	252	1	0.381	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_38	29867	30088	222	1	0.36	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_39	30273	30524	252	1	0.373	11	AGGA	GENOMAD.176188.VV	1.80E-07	49	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_40	30599	31531	933	-1	0.394	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_41	32489	32827	339	-1	0.389	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_42	32917	33351	435	-1	0.407	11	AGGAG	GENOMAD.019470.PP	7.11E-05	44	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_43	33512	34330	819	1	0.442	11	GGAG/GAGG	GENOMAD.132935.PC	7.97E-10	62	0	0	0	1	NA	NA	NA	PF13462;PF10411;K03981;COG1651;TIGR00385	Protein-disulfide isomerase
NZ_JACANE010000009.1_44	34383	35171	789	1	0.411	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_45	35171	36277	1107	1	0.435	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_46	36261	36533	273	1	0.403	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_47	36709	37116	408	-1	0.446	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_48	37136	37543	408	-1	0.4	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_49	37639	38148	510	-1	0.455	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_50	38305	38976	672	-1	0.435	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_51	39139	41856	2718	1	0.435	11	GGA/GAG/AGG	GENOMAD.108229.PC	5.88E-83	300	0	1	0	1	NA	MOBH	NA	PF07514;K12070;TIGR03760	Putative helicase
NZ_JACANE010000009.1_52	41853	43772	1920	1	0.437	11	AGGA	GENOMAD.121686.PC	6.66E-53	202	0	1	0	1	NA	t4cp1	NA	PF10412;K12071;TIGR03754;COG3505	"conjugative coupling factor TraD, TOL family"
NZ_JACANE010000009.1_53	43769	44203	435	1	0.398	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_54	44200	44838	639	1	0.44	11	None	GENOMAD.075270.PP	9.18E-24	102	0	1	0	1	NA	NA	NA	PF14348;TIGR03747	"integrating conjugative element membrane protein, PFL_4697 family"
NZ_JACANE010000009.1_55	44972	45253	282	1	0.465	11	GGAG/GAGG	GENOMAD.094286.PC	3.61E-27	106	0	1	0	1	NA	F_traL	NA	PF07178;K12068;TIGR02762	TraL protein
NZ_JACANE010000009.1_56	45272	45901	630	1	0.443	11	GGA/GAG/AGG	GENOMAD.075278.PP	2.07E-70	237	0	1	0	1	NA	F_traE	NA	PF11444;K12067	TraE protein
NZ_JACANE010000009.1_57	45907	46815	909	1	0.473	11	AGxAGG/AGGxGG	GENOMAD.077406.PP	3.22E-51	186	0	1	0	1	NA	F_traK	NA	PF06586;K12066;TIGR02756	type-F conjugative transfer system secretin TraK
NZ_JACANE010000009.1_58	46815	48092	1278	1	0.455	11	GGA/GAG/AGG	GENOMAD.094143.PC	5.86E-126	409	0	1	0	1	NA	F_traB	NA	K12065	NA
NZ_JACANE010000009.1_59	48113	48736	624	1	0.444	11	GGA/GAG/AGG	GENOMAD.087731.PC	1.01E-41	154	0	1	0	1	NA	F_traV	NA	K12064;TIGR02747;COG3895	type IV conjugative transfer system lipoprotein TraV
NZ_JACANE010000009.1_60	48737	49135	399	1	0.456	11	GGA/GAG/AGG	GENOMAD.104248.PC	5.12E-33	125	0	1	0	1	NA	NA	NA	PF04956;K12069;COG3838	NA
NZ_JACANE010000009.1_61	49269	54890	5622	1	0.454	11	None	GENOMAD.009564.PP	1.42E-182	627	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_62	55128	55919	792	1	0.443	11	GGA/GAG/AGG	GENOMAD.132935.PC	5.53E-07	53	0	0	0	1	NA	NA	NA	PF13462;PF10411;K03981;COG1651;TIGR00385	Protein-disulfide isomerase
NZ_JACANE010000009.1_63	55916	58411	2496	1	0.446	11	GGA/GAG/AGG	GENOMAD.100869.PC	6.06E-37	154	0	1	0	1	NA	virb4	NA	PF11130;K12063;TIGR02746;COG3451	TraC protein
NZ_JACANE010000009.1_64	58467	58769	303	-1	0.413	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_65	59377	59736	360	1	0.444	11	GGAG/GAGG	GENOMAD.067702.PP	4.49E-12	64	0	1	0	1	NA	NA	NA	PF09677;TIGR02744;COG3763	type-F conjugative transfer system protein TrbI
NZ_JACANE010000009.1_66	59738	60262	525	1	0.411	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_67	60272	61465	1194	1	0.428	11	GGA/GAG/AGG	GENOMAD.092693.PC	3.70E-87	295	0	1	0	1	NA	F_traW	NA	PF09673;K12061;TIGR02743	type-F conjugative transfer system protein TraW
NZ_JACANE010000009.1_68	61458	62090	633	1	0.425	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_69	62072	63100	1029	1	0.461	11	GGAG/GAGG	GENOMAD.093442.PC	3.63E-70	243	0	1	0	1	NA	F_traU	NA	PF06834;K12060;TIGR03756	TraU protein
NZ_JACANE010000009.1_70	63191	66001	2811	1	0.436	11	GGA/GAG/AGG	GENOMAD.088358.PC	5.54E-17	89	0	1	0	1	NA	NA	NA	PF06986	Type-1V conjugative transfer system mating pair stabilisation
NZ_JACANE010000009.1_71	66106	66420	315	-1	0.435	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_72	66503	67276	774	-1	0.426	11	GGAG/GAGG	GENOMAD.016771.PP	5.18E-07	53	0	0	0	1	NA	NA	NA	PF08900;TIGR03761	Transcriptional regulator AcaB
NZ_JACANE010000009.1_73	67578	67955	378	1	0.339	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_74	68071	68277	207	1	0.367	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_75	68498	69460	963	1	0.436	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_76	69526	70050	525	1	0.467	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_77	70155	70973	819	1	0.446	11	AGGAG	GENOMAD.177891.VP	1.26E-06	52	0	0	0	2561	Caudoviricetes	NA	NA	PF03837;TIGR01913;COG3723	phage recombination protein Bet
NZ_JACANE010000009.1_78	71041	72057	1017	1	0.42	11	GGAG/GAGG	GENOMAD.118726.VP	7.41E-05	47	0	0	1	2561	Caudoviricetes	NA	NA	PF09588;COG5377;TIGR03033;K01143	"Phage-related protein, predicted endonuclease"
NZ_JACANE010000009.1_79	72280	73533	1254	1	0.435	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_80	74169	74534	366	-1	0.544	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_81	74800	75543	744	1	0.415	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_82	75612	75899	288	1	0.382	11	GGAG/GAGG	GENOMAD.017147.PP	2.81E-15	72	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_83	76103	77692	1590	1	0.444	11	GGA/GAG/AGG	GENOMAD.053931.PP	9.34E-10	64	0	0	0	1	NA	NA	NA	PF18821	Large polyvalent protein-associated domain 7
NZ_JACANE010000009.1_84	77736	77972	237	1	0.439	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_85	78128	78868	741	1	0.382	11	AGGA/GGAG/GAGG	GENOMAD.025266.PP	7.19E-55	194	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_86	79269	79430	162	1	0.352	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_87	79442	79732	291	1	0.405	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_88	79882	80829	948	1	0.424	11	GGxGG	GENOMAD.129439.PV	1.27E-09	62	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_JACANE010000009.1_89	80824	80988	165	-1	0.503	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_90	81178	81471	294	-1	0.473	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANE010000009.1_91	81572	82501	930	-1	0.556	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_1	2	328	327	1	0.563	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_2	341	2035	1695	1	0.564	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_3	2028	2534	507	1	0.604	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_4	2732	3046	315	-1	0.419	11	AGGAG	GENOMAD.145509.PV	6.82E-10	57	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_5	3148	4125	978	-1	0.64	11	AGGAG	GENOMAD.117306.PV	3.67E-72	248	0	1	0	1	NA	NA	NA	PF11740	Plasmid replication region DNA-binding N-term
NZ_JACAND010000027.1_6	5042	6166	1125	-1	0.568	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACAND010000027.1_7	6210	6839	630	-1	0.537	11	AGGA	GENOMAD.061183.VV	5.14E-05	46	0	0	0	1	NA	NA	NA	PF00239;K14060;COG1961	"Resolvase, N terminal domain"
