gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NZ_CP012365.1|provirus_2347740_2396545_2241	2367102	2367611	510	1	0.447	11	GGAG/GAGG	GENOMAD.078371.VV	1.725e-16	79	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2242	2367614	2368762	1149	1	0.346	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2243	2368908	2369219	312	1	0.462	11	GGA/GAG/AGG	GENOMAD.160329.VP	7.79e-24	97	0	0	1	2561	Caudoviricetes	NA	NA	PF05106;TIGR01594	phage holin, lambda family
NZ_CP012365.1|provirus_2347740_2396545_2244	2369221	2369397	177	1	0.480	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2245	2369390	2369698	309	1	0.479	11	GGA/GAG/AGG	GENOMAD.223795.VP	4.203e-14	69	0	0	0	2561	Caudoviricetes	NA	NA	PF13395	HNH endonuclease
NZ_CP012365.1|provirus_2347740_2396545_2246	2369856	2370386	531	1	0.397	11	GGxGG	GENOMAD.065230.VV	1.434e-22	97	0	0	1	2561	Caudoviricetes	NA	NA	PF03592;COG3728;K07474;TIGR00721	Phage terminase, small subunit
NZ_CP012365.1|provirus_2347740_2396545_2247	2370383	2372062	1680	1	0.436	11	GGxGG	GENOMAD.151235.VP	3.935e-114	381	0	0	1	2561	Caudoviricetes	NA	NA	PF03354;PF05065;COG4626	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
NZ_CP012365.1|provirus_2347740_2396545_2248	2372059	2372223	165	1	0.406	11	GGA/GAG/AGG	GENOMAD.115687.VV	1.614e-17	76	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2249	2372216	2373469	1254	1	0.423	11	GGAG/GAGG	GENOMAD.112996.VP	2.708e-34	140	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2250	2373487	2374320	834	1	0.412	11	AGGAG	GENOMAD.158277.VP	5.744e-21	96	0	0	0	2561	Caudoviricetes	NA	NA	PF00574;PF19602;K01358;TIGR00493;COG3904	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP
NZ_CP012365.1|provirus_2347740_2396545_2251	2374394	2375572	1179	1	0.450	11	GGA/GAG/AGG	GENOMAD.104534.VP	1.518e-126	409	0	0	0	2561	Caudoviricetes	NA	NA	COG1659	Uncharacterized protein, linocin/CFP29 family
NZ_CP012365.1|provirus_2347740_2396545_2252	2375783	2376073	291	1	0.457	11	AGGAG	GENOMAD.220447.VP	1.266e-23	96	0	0	0	2561	Caudoviricetes	NA	NA	PF05135;TIGR01560	Phage gp6-like head-tail connector protein
NZ_CP012365.1|provirus_2347740_2396545_2253	2376070	2376393	324	1	0.423	11	AGGA	GENOMAD.161441.VP	6.947e-19	83	0	0	1	2561	Caudoviricetes	NA	NA	PF05521;COG5614;TIGR01563	Bacteriophage head-tail adaptor
NZ_CP012365.1|provirus_2347740_2396545_2254	2376390	2376920	531	1	0.427	11	AGGAG	GENOMAD.159344.VP	1.226e-60	207	0	0	1	2561	Caudoviricetes	NA	NA	PF05069;COG5005;TIGR01725	Mu-like prophage protein gpG
NZ_CP012365.1|provirus_2347740_2396545_2255	2376917	2377303	387	1	0.419	11	GGA/GAG/AGG	GENOMAD.088399.VV	1.557e-27	109	0	0	1	2561	Caudoviricetes	NA	NA	PF11367	NA
NZ_CP012365.1|provirus_2347740_2396545_2256	2377330	2377815	486	1	0.434	11	GGAG/GAGG	GENOMAD.100772.VV	1.854e-57	197	0	0	1	2561	Caudoviricetes	NA	NA	PF16460;COG5437;TIGR02126	Phage tail tube, TTP, lambda-like
NZ_CP012365.1|provirus_2347740_2396545_2257	2377859	2378266	408	1	0.426	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2258	2378766	2380130	1365	1	0.347	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2259	2380237	2380998	762	-1	0.458	11	GGAGG	GENOMAD.222649.VP	1.527e-13	73	0	0	0	2561	Caudoviricetes	NA	NA	PF10548;PF10547;COG3617	Prophage antirepressor
NZ_CP012365.1|provirus_2347740_2396545_2260	2381431	2381790	360	1	0.417	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2261	2381847	2384864	3018	1	0.445	11	GGAG/GAGG	GENOMAD.152448.VP	1.619e-54	212	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2262	2384868	2385197	330	1	0.382	11	AGxAGG/AGGxGG	GENOMAD.101800.VV	1.377e-20	88	0	0	1	2561	Caudoviricetes	NA	NA	PF05939;COG4718	Phage-related protein
NZ_CP012365.1|provirus_2347740_2396545_2263	2385217	2385906	690	1	0.443	11	AGGAG	GENOMAD.108715.VP	2.01e-62	215	0	0	1	2561	Caudoviricetes	NA	NA	PF05100;COG4672;TIGR01600	Phage minor tail protein L
NZ_CP012365.1|provirus_2347740_2396545_2264	2385908	2386624	717	1	0.424	11	GGA/GAG/AGG	GENOMAD.168265.VP	3.864e-49	177	0	0	0	2561	Caudoviricetes	NA	NA	PF14464;COG1310;K21140;TIGR02256	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif
NZ_CP012365.1|provirus_2347740_2396545_2265	2386625	2387221	597	1	0.461	11	GGAGG	GENOMAD.143103.VP	4.2e-57	198	0	0	1	2561	Caudoviricetes	NA	NA	PF06805;COG4723;TIGR01687	Phage-related protein, tail component
NZ_CP012365.1|provirus_2347740_2396545_2266	2387265	2393534	6270	1	0.439	11	GGAG/GAGG	GENOMAD.137612.VP	1.048e-128	459	0	0	1	377	Drexlerviridae	NA	NA	COG4733	Phage-related protein, tail component
NZ_CP012365.1|provirus_2347740_2396545_2267	2393537	2393890	354	1	0.379	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2268	2393887	2394054	168	1	0.387	11	GGA/GAG/AGG	GENOMAD.019124.VV	6.838e-12	60	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2269	2394117	2394368	252	1	0.444	11	GGA/GAG/AGG	GENOMAD.044304.VV	9.549e-21	87	0	0	0	5262	Schitoviridae	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2270	2394365	2395162	798	-1	0.447	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2271	2395183	2395449	267	-1	0.457	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2272	2395523	2395795	273	1	0.458	11	AGxAGG/AGGxGG	GENOMAD.044304.VV	1.928e-24	98	0	0	0	5262	Schitoviridae	NA	NA	NA	NA
NZ_CP012365.1|provirus_2347740_2396545_2273	2395788	2396276	489	1	0.470	11	GGxGG	GENOMAD.195005.VP	1.873e-11	64	0	0	1	2561	Caudoviricetes	NA	NA	PF03245;K14744	Bacteriophage Rz lysis protein
NZ_CP012365.1|provirus_2347740_2396545_2274	2396318	2396545	228	1	0.417	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
