gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NZ_JACANB010000008.1|provirus_23582_71415_25	24063	24542	480	-1	0.512	11	GGA/GAG/AGG	GENOMAD.044304.VV	5.513e-53	184	0	0	0	5262	Schitoviridae	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_26	24615	25154	540	1	0.361	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_27	25161	25397	237	-1	0.506	11	GGAG/GAGG	GENOMAD.221130.VP	2.867e-30	114	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_28	25384	27273	1890	-1	0.515	11	GGA/GAG/AGG	GENOMAD.215403.VP	3.119e-166	536	0	0	1	2561	Caudoviricetes	NA	NA	PF14594;COG4379	Mu-like prophage tail protein gpP
NZ_JACANB010000008.1|provirus_23582_71415_29	27285	28043	759	-1	0.474	11	GGA/GAG/AGG	GENOMAD.147523.VV	3.208e-48	175	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_30	28047	28979	933	-1	0.392	11	GGAG/GAGG	GENOMAD.111831.VV	1.344e-10	65	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_31	29035	32601	3567	-1	0.522	11	GGA/GAG/AGG	GENOMAD.142473.VV	4.566e-301	955	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_32	32642	33034	393	-1	0.539	11	AGGA	GENOMAD.142834.VV	5.274e-40	145	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_33	33034	36354	3321	-1	0.491	11	GGAG/GAGG	GENOMAD.152059.VP	3.833e-75	279	0	0	1	2561	Caudoviricetes	NA	NA	COG3941	Phage tail tape-measure protein, controls tail length
NZ_JACANB010000008.1|provirus_23582_71415_34	36409	36720	312	-1	0.413	11	GGAGG	GENOMAD.197272.VP	8.788e-07	48	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_35	36863	36976	114	-1	0.605	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_36	37155	37262	108	1	0.389	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_37	37657	38571	915	1	0.472	11	AGGAG	GENOMAD.222649.VP	2.141e-28	119	0	0	0	2561	Caudoviricetes	NA	NA	PF10548;PF10547;COG3617	Prophage antirepressor
NZ_JACANB010000008.1|provirus_23582_71415_38	38637	39389	753	-1	0.477	11	AGGAG	GENOMAD.064591.VV	9.108e-54	191	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_39	39382	39567	186	-1	0.484	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_40	39580	40011	432	-1	0.465	11	GGAG/GAGG	GENOMAD.184878.VV	7.473e-34	128	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_41	39977	40309	333	-1	0.483	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_42	40296	40535	240	-1	0.554	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_43	40536	41567	1032	-1	0.487	11	AGGA	GENOMAD.128799.VP	2.11e-67	235	0	0	1	2561	Caudoviricetes	NA	NA	PF03864	Phage major capsid protein E
NZ_JACANB010000008.1|provirus_23582_71415_44	41577	41930	354	-1	0.523	11	AGGAG	GENOMAD.056344.VV	6.953e-06	46	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_45	41940	43178	1239	-1	0.501	11	AGGAG	GENOMAD.157931.VP	2.189e-13	75	0	0	1	2561	Caudoviricetes	NA	NA	PF20454;K21512;COG5525	Phage terminase, large subunit GpA
NZ_JACANB010000008.1|provirus_23582_71415_46	43165	44757	1593	-1	0.515	11	GGAG/GAGG	GENOMAD.019804.VV	3.492e-85	295	0	0	1	2561	Caudoviricetes	NA	NA	PF05136;TIGR01539;COG5511	phage portal protein, lambda family
NZ_JACANB010000008.1|provirus_23582_71415_47	44757	44972	216	-1	0.514	11	GGAG/GAGG	GENOMAD.102827.VV	2.645e-13	65	0	0	0	1	NA	NA	NA	PF19645	gpW
NZ_JACANB010000008.1|provirus_23582_71415_48	44983	46917	1935	-1	0.517	11	GGAG/GAGG	GENOMAD.129396.VP	9.964e-62	229	0	0	1	2561	Caudoviricetes	NA	NA	PF20454	Terminase large subunit gpA, endonuclease domain
NZ_JACANB010000008.1|provirus_23582_71415_49	46892	47422	531	-1	0.493	11	None	GENOMAD.161251.VP	1.68e-48	172	0	0	1	2561	Caudoviricetes	NA	NA	PF07471;K22014;COG4220	Phage DNA packaging protein, Nu1 subunit of terminase
NZ_JACANB010000008.1|provirus_23582_71415_50	47563	48228	666	-1	0.544	11	GGxGG	GENOMAD.098674.VV	7.198e-43	158	0	0	0	2561	Caudoviricetes	NA	NA	PF20039	Prophage minor tail protein Z (GPZ)
NZ_JACANB010000008.1|provirus_23582_71415_51	48228	48542	315	-1	0.508	11	GGA/GAG/AGG	GENOMAD.160329.VP	3.298e-25	101	0	0	1	2561	Caudoviricetes	NA	NA	PF05106;TIGR01594	phage holin, lambda family
NZ_JACANB010000008.1|provirus_23582_71415_52	48679	49827	1149	-1	0.366	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_53	49809	50333	525	-1	0.453	11	GGAG/GAGG	GENOMAD.078371.VV	9.784e-16	77	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_54	50333	50680	348	-1	0.526	11	GGA/GAG/AGG	GENOMAD.096069.VV	5.93e-32	121	0	0	0	2561	Caudoviricetes	NA	NA	PF05866;K01160;COG4570	Holliday junction resolvase RusA (prophage-encoded endonuclease)
NZ_JACANB010000008.1|provirus_23582_71415_55	50677	50883	207	-1	0.502	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_56	50870	51163	294	-1	0.541	11	GGAG/GAGG	GENOMAD.093981.VV	6.357e-08	51	0	0	1	2561	Caudoviricetes	NA	NA	PF15777;TIGR03655;COG1996	Tryptophan RNA-binding attenuator protein inhibitory protein
NZ_JACANB010000008.1|provirus_23582_71415_57	51248	52450	1203	-1	0.516	11	GGAG/GAGG	GENOMAD.159247.VP	1.821e-31	131	0	0	0	2561	Caudoviricetes	NA	NA	PF06926	NA
NZ_JACANB010000008.1|provirus_23582_71415_58	52447	52683	237	-1	0.515	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_59	52683	53354	672	-1	0.567	11	GGAGG	GENOMAD.120801.VV	2.009e-40	151	0	0	1	2561	Caudoviricetes	NA	NA	PF06992	Replication protein P
NZ_JACANB010000008.1|provirus_23582_71415_60	53351	54130	780	-1	0.471	11	GGxGG	GENOMAD.192388.VP	3.506e-12	69	0	0	0	2561	Caudoviricetes	NA	NA	PF09524	NA
NZ_JACANB010000008.1|provirus_23582_71415_61	54127	54900	774	-1	0.522	11	AGxAGG/AGGxGG	GENOMAD.146414.VP	7.339e-50	180	0	0	0	2561	Caudoviricetes	NA	NA	PF03374;COG3646;TIGR02681	Phage regulatory protein Rha
NZ_JACANB010000008.1|provirus_23582_71415_62	55106	55537	432	-1	0.451	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_63	55534	55890	357	-1	0.501	11	AGxAGG/AGGxGG	GENOMAD.120531.VV	3.249e-06	47	0	0	0	2561	Caudoviricetes	NA	NA	K22302	NA
NZ_JACANB010000008.1|provirus_23582_71415_64	56271	56909	639	1	0.457	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_65	56930	57223	294	1	0.350	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_66	57244	57987	744	1	0.411	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_67	58713	59090	378	1	0.521	11	GGAGG	GENOMAD.079109.VV	4.697e-14	70	0	0	0	2561	Caudoviricetes	NA	NA	PF05344;K01994;TIGR03879	NA
NZ_JACANB010000008.1|provirus_23582_71415_68	59106	59351	246	1	0.455	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_69	59364	59690	327	1	0.511	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_70	59693	59911	219	1	0.479	11	GGAG/GAGG	GENOMAD.225494.VP	4.982e-08	50	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_71	60684	61370	687	1	0.457	11	AGGA	GENOMAD.072982.VV	2.36e-29	119	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_72	61506	61694	189	1	0.471	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_73	61829	62029	201	1	0.488	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_74	62026	62145	120	1	0.450	11	GGAG/GAGG	GENOMAD.187156.VV	3.216e-05	40	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_75	62142	62702	561	1	0.467	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_76	62699	63145	447	1	0.456	11	GGAG/GAGG	GENOMAD.032822.VV	1.725e-17	81	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_77	63428	64387	960	1	0.508	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_78	65165	65482	318	1	0.462	11	AGGAG	GENOMAD.204828.VV	3.186e-10	58	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_79	65528	66325	798	1	0.516	11	GGAG/GAGG	GENOMAD.178041.VP	6.254e-56	198	0	0	0	2561	Caudoviricetes	NA	NA	PF03374;PF09669;COG3645;TIGR02681	Phage antirepressor protein YoqD, KilAC domain
NZ_JACANB010000008.1|provirus_23582_71415_80	66439	66912	474	1	0.513	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_81	67197	67673	477	1	0.457	11	GGA/GAG/AGG	GENOMAD.181718.VP	1.176e-26	108	0	0	0	2561	Caudoviricetes	NA	NA	PF18275	His-Me finger endonuclease beta4-alpha2 domain
NZ_JACANB010000008.1|provirus_23582_71415_82	67709	68002	294	1	0.493	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_83	67989	68417	429	1	0.503	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_84	68414	68659	246	1	0.484	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_85	68740	69105	366	1	0.503	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_86	69202	70092	891	1	0.470	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NZ_JACANB010000008.1|provirus_23582_71415_87	70261	71415	1155	1	0.459	11	GGAGG	GENOMAD.099267.VV	2.032e-22	103	0	0	0	2561	Caudoviricetes	NA	NA	PF00589;TIGR02224;COG4973;K03733	tyrosine recombinase XerC
